employee_id,full_name,email,department,gender,country,salary_eur,hire_date,years_experience,performance_score,contract_type,weekly_hours
1121,Employee_121,employee_1@notanemail,Operations,m,Germany,3897.63,2020-02-26,5,5.0,,-5.0
1096,Employee_96,employee_9@company.com,Operations,M,France,3935.31,2024-07-20,27,1.0,Part-time,38.0
1080,Employee_80,employee_8@outlook.com,Engineering,F,Netherlands,9183.02,2022-11-28,18,1.0,Part-time,-5.0
1150,Employee_150,employee_150,Finance,M,Spain,-346.68,not-a-date,9,99.0,,-5.0
1114,Employee_114,employee_1@company.com,HR,f,France,2541.31,2021-05-07,6,99.0,Freelance,0.0
1141,Employee_141,employee_1@notanemail,Sales,,Germany,8350.23,2018-03-18,15,4.0,Freelance,38.0
1123,Employee_123,employee_1@notanemail,,F,Spain,3332.79,2020-03-20,20,99.0,Full-time,40.0
1163,Employee_163,,Operations,F,Germany,9639.28,2020-04-02,3,4.0,PART TIME,-5.0
1152,Employee_152,employee_1@notanemail,Operations,FEMALE,Netherlands,5483.93,2023-03-19,17,1.0,Freelance,20.0
1039,Employee_39,employee_3@notanemail,Engineering,f,,4111.19,2021-01-31,35,1.0,,60.0
1025,Employee_25,employee_25,Finance,F,,2302.78,2019-11-21,7,5.0,,60.0
1186,Employee_186,employee_1@company.com,Finance,m,Spain,6399.9,2017-08-19,24,,Full-time,20.0
1138,Employee_138,employee_1@company.com,HR,f,France,3203.08,2023-09-23,33,5.0,Full-time,32.0
1030,Employee_30,employee_30,Operations,male,France,2591.04,2018-09-12,32,3.0,PART TIME,32.0
1020,Employee_20,employee_2@company.com,Finance,M,Germany,9936.39,2021-06-18,11,2.0,PART TIME,20.0
1070,Employee_70,,Finance,M,Spain,4919.04,2022-05-27,26,1.0,Freelance,20.0
1072,Employee_72,employee_7@outlook.com,HR,f,,10644.69,2020-06-06,3,99.0,Part-time,60.0
1061,Employee_61,employee_6@outlook.com,Finance,F,,6574.16,2017-02-19,17,1.0,Full-time,60.0
1069,Employee_69,employee_6@gmail.com,Operations,,Germany,5627.52,2024-05-23,29,5.0,,60.0
1006,Employee_6,employee_6@company.com,Operations,FEMALE,France,6898.66,2023-05-26,10,3.0,Full-time,60.0
1140,Employee_140,employee_140,HR,f,Netherlands,3278.34,2023-05-11,5,3.0,PART TIME,60.0
1057,Employee_57,employee_5@gmail.com,Engineering,m,Germany,3269.78,2022-11-29,30,4.0,Part-time,60.0
1157,Employee_157,employee_1@outlook.com,Marketing,male,Netherlands,926.09,2020-12-14,7,4.0,full time,
1177,Employee_177,employee_177,Marketing,FEMALE,Belgium,6607.87,2021-12-12,7,99.0,Part-time,38.0
1164,Employee_164,employee_164,Sales,M,Spain,11364.07,2016-07-30,31,99.0,Full-time,-5.0
1066,Employee_66,employee_6@company.com,Marketing,m,Netherlands,7594.29,2023-11-01,23,4.0,,
1113,Employee_113,employee_1@gmail.com,Engineering,F,Belgium,4555.01,2017-09-27,21,5.0,Part-time,20.0
1187,Employee_187,employee_1@company.com,Marketing,male,Netherlands,1456.66,2016-07-09,15,4.0,Full-time,32.0
1156,Employee_156,employee_156,Sales,FEMALE,,10271.54,2024-10-29,9,4.0,Freelance,-5.0
1032,Employee_32,employee_3@company.com,HR,FEMALE,France,7266.7,2019-06-29,9,4.0,Full-time,-5.0
1013,Employee_13,employee_13,Marketing,,,3591.91,not-a-date,19,3.0,Freelance,60.0
1036,Employee_36,employee_3@gmail.com,HR,male,Netherlands,11346.96,2023-08-31,-2,4.0,,0.0
1029,Employee_29,,Marketing,male,,-112.13,2016-03-04,6,99.0,Part-time,32.0
1043,Employee_43,employee_4@company.com,Sales,,Netherlands,9222.4,2023-07-10,14,4.0,PART TIME,40.0
1085,Employee_85,,HR,FEMALE,France,2568.69,2016-06-01,30,5.0,Freelance,0.0
1105,Employee_105,,HR,male,Netherlands,4580.35,2023-05-17,7,,Freelance,-5.0
1151,Employee_151,employee_1@gmail.com,Operations,,Belgium,3054.24,2015-05-17,15,99.0,,32.0
1052,Employee_52,employee_5@outlook.com,Operations,f,Netherlands,1979.12,2017-07-09,21,1.0,Freelance,60.0
1125,Employee_125,employee_1@outlook.com,Engineering,,Spain,8516.05,2015-10-30,1,3.0,Full-time,38.0
1178,Employee_178,employee_1@company.com,Engineering,f,Germany,252.88,2021-04-18,8,3.0,Freelance,60.0
1077,Employee_77,employee_7@outlook.com,HR,M,,7630.72,2019-04-18,15,3.0,Part-time,32.0
1042,Employee_42,employee_4@company.com,Engineering,f,,8479.47,2020-08-03,9,5.0,,-5.0
1136,Employee_136,employee_1@notanemail,Engineering,FEMALE,Germany,11756.38,2018-01-29,4,1.0,Full-time,40.0
1079,Employee_79,,Engineering,,Netherlands,10995.22,2018-07-27,33,2.0,PART TIME,60.0
1179,Employee_179,employee_179,Finance,,Germany,11501.36,2021-11-03,1,,Full-time,40.0
1027,Employee_27,,Operations,M,Spain,11466.07,2020-04-09,15,99.0,,-5.0
1147,Employee_147,employee_1@company.com,Operations,M,Germany,7473.37,2024-05-26,-1,3.0,Full-time,0.0
1174,Employee_174,,Finance,male,Spain,3216.91,2024-03-22,34,4.0,full time,32.0
1189,Employee_189,employee_1@company.com,Finance,M,Netherlands,8117.14,2023-05-02,30,5.0,PART TIME,32.0
1001,Employee_1,,Engineering,f,Spain,10006.32,2016-04-15,32,4.0,PART TIME,60.0
1003,Employee_3,employee_3@gmail.com,Finance,male,Germany,11759.02,2017-12-24,1,1.0,,
1078,Employee_78,employee_7@notanemail,Marketing,male,Germany,7198.9,2023-09-12,35,99.0,,-5.0
1047,Employee_47,employee_4@notanemail,Marketing,M,France,11111.09,2015-04-29,31,,full time,60.0
1154,Employee_154,employee_154,Marketing,F,Netherlands,11568.72,2019-08-29,20,5.0,Part-time,40.0
1119,Employee_119,,Engineering,,Spain,11957.89,2021-07-16,33,,PART TIME,40.0
1091,Employee_91,employee_91,Operations,M,Spain,7852.36,2024-10-07,25,99.0,Freelance,32.0
1086,Employee_86,employee_8@outlook.com,HR,m,Spain,11182.77,2021-08-14,25,2.0,,20.0
1148,Employee_148,,Operations,FEMALE,Germany,8909.9,2016-02-02,15,1.0,Freelance,60.0
1099,Employee_99,employee_9@notanemail,,m,Netherlands,6951.94,2022-01-11,4,2.0,Part-time,
1037,Employee_37,employee_3@company.com,Finance,m,Netherlands,5312.92,2020-10-08,20,1.0,Freelance,38.0
1126,Employee_126,employee_1@company.com,,F,France,3444.35,2018-11-16,16,2.0,Part-time,20.0
1062,Employee_62,,Marketing,f,Netherlands,13.36,2020-09-12,27,4.0,Freelance,40.0
1023,Employee_23,employee_23,HR,m,,151.07,2019-12-17,12,,Freelance,0.0
1145,Employee_145,employee_1@company.com,Sales,,Germany,3151.71,2022-08-08,33,3.0,Freelance,38.0
1118,Employee_118,employee_1@company.com,Finance,m,Spain,3796.97,2017-09-13,33,5.0,Freelance,20.0
1034,Employee_34,employee_34,Operations,m,Germany,5419.51,not-a-date,-1,,PART TIME,40.0
1012,Employee_12,,,male,,2751.95,2021-09-15,1,3.0,Freelance,
1104,Employee_104,employee_1@company.com,Finance,M,France,2516.95,2018-03-23,21,99.0,full time,60.0
1184,Employee_184,employee_184,HR,male,,514.84,2015-06-02,29,1.0,PART TIME,32.0
1007,Employee_7,employee_7@company.com,HR,F,Belgium,7787.5,2018-03-28,5,2.0,Freelance,20.0
1028,Employee_28,,Operations,F,Germany,3.23,2018-09-27,7,,full time,-5.0
1137,Employee_137,employee_1@outlook.com,Marketing,,Spain,9907.85,not-a-date,20,3.0,full time,40.0
1088,Employee_88,,Operations,FEMALE,France,5135.03,2019-12-09,5,3.0,Part-time,60.0
1015,Employee_15,employee_15,Operations,M,Netherlands,3718.76,2015-04-16,6,1.0,,0.0
1005,Employee_5,employee_5@outlook.com,Engineering,male,,10836.61,2023-11-21,15,2.0,Freelance,20.0
1033,Employee_33,employee_3@notanemail,Operations,,,2481.81,2021-03-03,5,99.0,Freelance,0.0
1120,Employee_120,employee_1@notanemail,Engineering,FEMALE,Spain,6379.86,2020-03-03,19,,Full-time,40.0
1160,Employee_160,,Operations,,Belgium,6712.76,2020-05-27,2,99.0,,32.0
1127,Employee_127,employee_1@company.com,,,Spain,8786.01,2018-05-10,17,4.0,Freelance,32.0
1159,Employee_159,employee_1@gmail.com,Finance,,Netherlands,5646.83,2017-11-18,23,5.0,Part-time,20.0
1115,Employee_115,employee_115,,M,Netherlands,7799.5,2017-01-07,33,5.0,Full-time,32.0
1011,Employee_11,,Finance,FEMALE,,1771.61,2020-07-15,-1,3.0,full time,0.0
1063,Employee_63,employee_63,Sales,f,Spain,6159.32,2016-07-13,-1,99.0,Full-time,20.0
1165,Employee_165,employee_1@outlook.com,Engineering,f,France,564.76,2017-07-13,11,5.0,Full-time,60.0
1195,Employee_195,employee_1@notanemail,Finance,male,Germany,389.75,2018-02-19,35,3.0,Part-time,40.0
1182,Employee_182,employee_1@outlook.com,,M,Spain,7318.94,2018-05-22,26,,full time,38.0
1129,Employee_129,employee_129,Marketing,F,Netherlands,8127.04,2020-02-15,4,4.0,PART TIME,-5.0
1199,Employee_199,employee_1@outlook.com,Sales,M,,6872.37,2016-02-11,0,3.0,full time,-5.0
1168,Employee_168,employee_1@gmail.com,HR,male,Netherlands,4702.18,2024-01-09,27,3.0,Part-time,32.0
1071,Employee_71,employee_7@company.com,Finance,M,,4027.35,2016-08-31,2,4.0,PART TIME,20.0
1171,Employee_171,employee_1@company.com,Finance,M,Spain,9196.17,2016-05-21,21,5.0,,20.0
1065,Employee_65,employee_65,HR,male,,361.96,2024-07-31,28,2.0,PART TIME,20.0
1045,Employee_45,employee_4@gmail.com,Finance,male,Spain,3387.99,2018-03-25,6,4.0,,38.0
1144,Employee_144,employee_1@gmail.com,HR,F,,181.58,2017-02-17,25,1.0,Full-time,32.0
1041,Employee_41,employee_4@outlook.com,Marketing,M,,11546.68,2019-01-21,-1,3.0,,
1124,Employee_124,employee_1@company.com,Engineering,F,,2381.73,2022-08-07,25,,Freelance,-5.0
1024,Employee_24,employee_2@gmail.com,Marketing,male,Belgium,11399.0,2017-01-13,19,2.0,Freelance,60.0
1166,Employee_166,,Engineering,F,France,2602.39,2023-02-14,22,,Full-time,32.0
1162,Employee_162,employee_1@gmail.com,Engineering,F,France,1396.59,2018-10-19,-1,1.0,full time,20.0
1082,Employee_82,employee_8@outlook.com,HR,male,Belgium,9821.68,2022-06-11,31,,full time,60.0
1040,Employee_40,employee_4@outlook.com,Marketing,m,France,7073.66,2015-08-11,18,99.0,,40.0
1185,Employee_185,employee_185,Engineering,F,Spain,2498.31,2020-07-10,26,2.0,full time,40.0
1048,Employee_48,employee_4@gmail.com,Finance,F,Spain,6697.46,2021-10-29,5,4.0,PART TIME,0.0
1095,Employee_95,,HR,m,France,5594.37,2019-06-17,19,2.0,PART TIME,20.0
1169,Employee_169,employee_1@outlook.com,Finance,male,France,6951.59,2016-01-05,19,5.0,Part-time,
1044,Employee_44,employee_4@outlook.com,Engineering,m,Spain,1547.07,2017-12-29,1,5.0,Full-time,0.0
1146,Employee_146,,HR,f,Netherlands,11301.12,2023-08-10,33,99.0,Part-time,-5.0
1153,Employee_153,employee_1@notanemail,HR,F,Netherlands,3758.82,2018-04-23,19,5.0,Part-time,20.0
1004,Employee_4,,Engineering,F,Belgium,6176.55,2015-10-20,23,1.0,,32.0
1106,Employee_106,employee_1@outlook.com,Marketing,male,Netherlands,6439.7,2016-02-08,28,1.0,full time,20.0
1054,Employee_54,,Engineering,F,Spain,9882.15,2016-04-26,35,2.0,Part-time,
1134,Employee_134,employee_1@notanemail,,male,Netherlands,9002.6,2022-11-04,28,3.0,full time,60.0
1200,Employee_200,employee_2@company.com,Marketing,FEMALE,Netherlands,9548.82,2019-02-13,12,,Full-time,40.0
1172,Employee_172,employee_1@notanemail,Marketing,,,4254.73,2022-07-18,17,2.0,PART TIME,32.0
1107,Employee_107,employee_1@gmail.com,HR,,,2504.05,2022-11-23,2,2.0,PART TIME,32.0
1050,Employee_50,employee_5@outlook.com,Engineering,M,Germany,4191.34,2021-03-06,28,1.0,Full-time,40.0
1081,Employee_81,employee_8@company.com,Operations,f,Netherlands,5310.92,2019-04-11,22,5.0,,0.0
1035,Employee_35,employee_3@outlook.com,Sales,f,Spain,929.87,2017-10-30,6,1.0,full time,38.0
1008,Employee_8,employee_8@company.com,,f,Spain,549.34,2020-04-03,27,99.0,Full-time,0.0
1111,Employee_111,employee_1@notanemail,Marketing,F,Spain,-284.46,2015-08-18,25,4.0,Part-time,40.0
1092,Employee_92,,Operations,M,Netherlands,3704.96,2016-09-24,26,,,-5.0
1084,Employee_84,employee_8@company.com,HR,f,Netherlands,3528.81,2020-07-21,27,5.0,full time,40.0
1196,Employee_196,employee_1@gmail.com,Finance,FEMALE,,2417.8,not-a-date,29,4.0,,38.0
1103,Employee_103,employee_103,Marketing,F,Belgium,1888.21,2022-01-29,14,99.0,full time,60.0
1090,Employee_90,employee_9@gmail.com,Operations,M,,6623.12,not-a-date,11,,PART TIME,0.0
1009,Employee_9,,Engineering,f,Spain,4857.66,2022-11-06,3,2.0,PART TIME,
1014,Employee_14,employee_1@gmail.com,Marketing,M,,5183.74,2018-08-13,13,1.0,,40.0
1060,Employee_60,employee_60,Engineering,male,France,9452.84,2021-03-07,31,3.0,Part-time,-5.0
1100,Employee_100,employee_1@outlook.com,Engineering,m,,10501.34,2023-07-08,18,2.0,Freelance,0.0
1132,Employee_132,,HR,F,France,2956.25,2017-08-29,11,3.0,Full-time,20.0
1018,Employee_18,employee_1@gmail.com,Marketing,m,Belgium,11390.05,2015-03-26,2,4.0,Freelance,60.0
1167,Employee_167,employee_1@outlook.com,Finance,FEMALE,Belgium,6475.91,2019-06-16,24,2.0,Freelance,32.0
1073,Employee_73,employee_7@gmail.com,Marketing,FEMALE,Spain,5246.74,2021-03-10,18,3.0,PART TIME,40.0
1193,Employee_193,employee_193,HR,f,Belgium,3033.98,2016-02-10,5,3.0,PART TIME,20.0
1135,Employee_135,employee_135,HR,,,6959.88,2024-04-22,12,5.0,Freelance,20.0
1183,Employee_183,,Marketing,M,,2808.08,2016-04-22,25,2.0,,40.0
1103,Employee_103,employee_103,Marketing,F,Belgium,1888.21,2022-01-29,14,99.0,full time,60.0
1064,Employee_64,employee_6@outlook.com,Operations,,France,7769.02,2018-02-05,1,1.0,PART TIME,
1055,Employee_55,employee_5@notanemail,Marketing,male,Spain,2535.62,2016-09-22,4,99.0,Freelance,-5.0
1108,Employee_108,employee_1@company.com,Marketing,,Spain,5451.16,2019-12-23,3,99.0,PART TIME,60.0
1051,Employee_51,employee_51,Engineering,M,Germany,11268.38,not-a-date,26,4.0,Freelance,20.0
1175,Employee_175,,Engineering,f,France,6856.56,2019-03-02,3,1.0,Full-time,32.0
1131,Employee_131,employee_1@outlook.com,HR,M,France,8732.56,2024-07-27,30,,full time,-5.0
1170,Employee_170,employee_1@notanemail,,,France,7230.23,2015-02-27,8,4.0,PART TIME,0.0
1059,Employee_59,employee_5@gmail.com,Sales,f,France,9569.1,2020-04-18,0,,Part-time,-5.0
1049,Employee_49,employee_4@outlook.com,Marketing,male,Belgium,10850.33,2022-12-17,2,3.0,Freelance,60.0
1089,Employee_89,,Engineering,m,France,8880.95,2020-02-15,33,3.0,full time,32.0
1022,Employee_22,employee_22,Finance,F,Germany,8862.8,2020-04-11,11,5.0,Part-time,32.0
1058,Employee_58,employee_5@notanemail,,F,France,8053.24,2024-05-12,12,99.0,Part-time,32.0
1161,Employee_161,,Finance,,France,8080.64,2018-04-23,7,,full time,60.0
1117,Employee_117,employee_1@outlook.com,,,,6418.41,2019-04-16,35,,full time,
1188,Employee_188,employee_1@outlook.com,Finance,M,France,4606.47,2019-02-28,11,4.0,full time,32.0
1192,Employee_192,employee_1@gmail.com,Engineering,male,France,3101.31,2024-12-05,25,2.0,,0.0
1130,Employee_130,employee_130,HR,FEMALE,,1894.26,2017-03-26,34,4.0,Part-time,32.0
1038,Employee_38,,HR,,France,2703.05,2015-01-05,13,4.0,Part-time,0.0
1158,Employee_158,employee_158,Engineering,male,,316.79,2018-01-21,34,5.0,,
1021,Employee_21,employee_2@company.com,,m,Spain,5378.84,not-a-date,35,4.0,,60.0
1002,Employee_2,employee_2@gmail.com,Marketing,f,Netherlands,10994.27,2022-04-06,20,5.0,Full-time,38.0
1053,Employee_53,employee_5@gmail.com,Operations,m,France,6901.22,2016-04-09,30,3.0,Part-time,
1150,Employee_150,employee_150,Finance,M,Spain,-346.68,not-a-date,9,99.0,,-5.0
1131,Employee_131,employee_1@outlook.com,HR,M,France,8732.56,2024-07-27,30,,full time,-5.0
1152,Employee_152,employee_1@notanemail,Operations,FEMALE,Netherlands,5483.93,2023-03-19,17,1.0,Freelance,20.0
1104,Employee_104,employee_1@company.com,Finance,M,France,2516.95,2018-03-23,21,99.0,full time,60.0
1100,Employee_100,employee_1@outlook.com,Engineering,m,,10501.34,2023-07-08,18,2.0,Freelance,0.0
1117,Employee_117,employee_1@outlook.com,,,,6418.41,2019-04-16,35,,full time,
1088,Employee_88,,Operations,FEMALE,France,5135.03,2019-12-09,5,3.0,Part-time,60.0
1093,Employee_93,employee_9@company.com,Engineering,f,,5678.83,2023-10-07,12,99.0,full time,0.0
1075,Employee_75,employee_7@gmail.com,HR,male,Belgium,1701.71,2018-08-11,2,3.0,Part-time,-5.0
1122,Employee_122,,Finance,f,France,5171.82,2015-02-08,24,3.0,PART TIME,38.0
1002,Employee_2,employee_2@gmail.com,Marketing,f,Netherlands,10994.27,2022-04-06,20,5.0,Full-time,38.0
1021,Employee_21,employee_2@company.com,,m,Spain,5378.84,not-a-date,35,4.0,,60.0
1189,Employee_189,employee_1@company.com,Finance,M,Netherlands,8117.14,2023-05-02,30,5.0,PART TIME,32.0
1072,Employee_72,employee_7@outlook.com,HR,f,,10644.69,2020-06-06,3,99.0,Part-time,60.0
1107,Employee_107,employee_1@gmail.com,HR,,,2504.05,2022-11-23,2,2.0,PART TIME,32.0
1015,Employee_15,employee_15,Operations,M,Netherlands,3718.76,2015-04-16,6,1.0,,0.0
1093,Employee_93,employee_9@company.com,Engineering,f,,5678.83,2023-10-07,12,99.0,full time,0.0
1180,Employee_180,employee_1@gmail.com,Engineering,m,France,740.42,2015-09-16,3,1.0,Full-time,20.0
1103,Employee_103,employee_103,Marketing,F,Belgium,1888.21,2022-01-29,14,99.0,full time,60.0
