employee_id,full_name,email,department,gender,country,salary_eur,hire_date,years_experience,performance_score,contract_type,weekly_hours,gender_normalized,salary_band,seniority_level,years_at_company,is_senior
1142,Employee_142,employee_1@gmail.com,,F,France,1082.29,2017-07-31,34,4.0,Part-time,20.0,Female,Entry,Principal,8.8,False
1194,Employee_194,employee_1@outlook.com,Operations,,France,10245.08,2021-11-26,16,3.0,Part-time,0.0,Unknown,Executive,Principal,4.4,True
1096,Employee_96,employee_9@company.com,Operations,M,France,3935.31,2024-07-20,27,1.0,Part-time,38.0,Male,Mid,Principal,1.8,False
1080,Employee_80,employee_8@outlook.com,Engineering,F,Netherlands,9183.02,2022-11-28,18,1.0,Part-time,-5.0,Female,Executive,Principal,3.4,True
1114,Employee_114,employee_1@company.com,HR,f,France,2541.31,2021-05-07,6,99.0,Freelance,0.0,Female,Mid,Senior,5.0,False
1186,Employee_186,employee_1@company.com,Finance,m,Spain,6399.9,2017-08-19,24,,Full-time,20.0,Male,Senior,Principal,8.7,True
1138,Employee_138,employee_1@company.com,HR,f,France,3203.08,2023-09-23,33,5.0,Full-time,32.0,Female,Mid,Principal,2.6,False
1020,Employee_20,employee_2@company.com,Finance,M,Germany,9936.39,2021-06-18,11,2.0,Part-time,20.0,Male,Executive,Principal,4.9,True
1072,Employee_72,employee_7@outlook.com,HR,f,,10644.69,2020-06-06,3,99.0,Part-time,60.0,Female,Executive,Mid-level,5.9,True
1061,Employee_61,employee_6@outlook.com,Finance,F,,6574.16,2017-02-19,17,1.0,Full-time,60.0,Female,Senior,Principal,9.2,True
1069,Employee_69,employee_6@gmail.com,Operations,,Germany,5627.52,2024-05-23,29,5.0,Unknown,60.0,Unknown,Senior,Principal,1.9,True
1006,Employee_6,employee_6@company.com,Operations,FEMALE,France,6898.66,2023-05-26,10,3.0,Full-time,60.0,Female,Senior,Principal,2.9,True
1057,Employee_57,employee_5@gmail.com,Engineering,m,Germany,3269.78,2022-11-29,30,4.0,Part-time,60.0,Male,Mid,Principal,3.4,False
1157,Employee_157,employee_1@outlook.com,Marketing,male,Netherlands,926.09,2020-12-14,7,4.0,Full-time,,Male,Entry,Senior,5.4,False
1066,Employee_66,employee_6@company.com,Marketing,m,Netherlands,7594.29,2023-11-01,23,4.0,Unknown,,Male,Executive,Principal,2.5,True
1113,Employee_113,employee_1@gmail.com,Engineering,F,Belgium,4555.01,2017-09-27,21,5.0,Part-time,20.0,Female,Senior,Principal,8.6,True
1187,Employee_187,employee_1@company.com,Marketing,male,Netherlands,1456.66,2016-07-09,15,4.0,Full-time,32.0,Male,Entry,Principal,9.8,False
1032,Employee_32,employee_3@company.com,HR,FEMALE,France,7266.7,2019-06-29,9,4.0,Full-time,-5.0,Female,Executive,Senior,6.8,True
1036,Employee_36,employee_3@gmail.com,HR,male,Netherlands,11346.96,2023-08-31,-2,4.0,Unknown,0.0,Male,Executive,Unknown,2.7,True
1043,Employee_43,employee_4@company.com,Sales,,Netherlands,9222.4,2023-07-10,14,4.0,Part-time,40.0,Unknown,Executive,Principal,2.8,True
1151,Employee_151,employee_1@gmail.com,Operations,,Belgium,3054.24,2015-05-17,15,99.0,Unknown,32.0,Unknown,Mid,Principal,11.0,False
1052,Employee_52,employee_5@outlook.com,Operations,f,Netherlands,1979.12,2017-07-09,21,1.0,Freelance,60.0,Female,Entry,Principal,8.8,False
1125,Employee_125,employee_1@outlook.com,Engineering,,Spain,8516.05,2015-10-30,1,3.0,Full-time,38.0,Unknown,Executive,Junior,10.5,True
1178,Employee_178,employee_1@company.com,Engineering,f,Germany,252.88,2021-04-18,8,3.0,Freelance,60.0,Female,Entry,Senior,5.0,False
1077,Employee_77,employee_7@outlook.com,HR,M,,7630.72,2019-04-18,15,3.0,Part-time,32.0,Male,Executive,Principal,7.0,True
1042,Employee_42,employee_4@company.com,Engineering,f,,8479.47,2020-08-03,9,5.0,Unknown,-5.0,Female,Executive,Senior,5.7,True
1147,Employee_147,employee_1@company.com,Operations,M,Germany,7473.37,2024-05-26,-1,3.0,Full-time,0.0,Male,Executive,Unknown,1.9,True
1189,Employee_189,employee_1@company.com,Finance,M,Netherlands,8117.14,2023-05-02,30,5.0,Part-time,32.0,Male,Executive,Principal,3.0,True
1003,Employee_3,employee_3@gmail.com,Finance,male,Germany,11759.02,2017-12-24,1,1.0,Unknown,,Male,Executive,Junior,8.4,True
1086,Employee_86,employee_8@outlook.com,HR,m,Spain,11182.77,2021-08-14,25,2.0,Unknown,20.0,Male,Executive,Principal,4.7,True
1037,Employee_37,employee_3@company.com,Finance,m,Netherlands,5312.92,2020-10-08,20,1.0,Freelance,38.0,Male,Senior,Principal,5.6,True
1126,Employee_126,employee_1@company.com,,F,France,3444.35,2018-11-16,16,2.0,Part-time,20.0,Female,Mid,Principal,7.5,False
1145,Employee_145,employee_1@company.com,Sales,,Germany,3151.71,2022-08-08,33,3.0,Freelance,38.0,Unknown,Mid,Principal,3.7,False
1118,Employee_118,employee_1@company.com,Finance,m,Spain,3796.97,2017-09-13,33,5.0,Freelance,20.0,Male,Mid,Principal,8.6,False
1104,Employee_104,employee_1@company.com,Finance,M,France,2516.95,2018-03-23,21,99.0,Full-time,60.0,Male,Mid,Principal,8.1,False
1007,Employee_7,employee_7@company.com,HR,F,Belgium,7787.5,2018-03-28,5,2.0,Freelance,20.0,Female,Executive,Senior,8.1,True
1137,Employee_137,employee_1@outlook.com,Marketing,,Spain,9907.85,,20,3.0,Full-time,40.0,Unknown,Executive,Principal,,True
1005,Employee_5,employee_5@outlook.com,Engineering,male,,10836.61,2023-11-21,15,2.0,Freelance,20.0,Male,Executive,Principal,2.4,True
1127,Employee_127,employee_1@company.com,,,Spain,8786.01,2018-05-10,17,4.0,Freelance,32.0,Unknown,Executive,Principal,8.0,True
1159,Employee_159,employee_1@gmail.com,Finance,,Netherlands,5646.83,2017-11-18,23,5.0,Part-time,20.0,Unknown,Senior,Principal,8.5,True
1165,Employee_165,employee_1@outlook.com,Engineering,f,France,564.76,2017-07-13,11,5.0,Full-time,60.0,Female,Entry,Principal,8.8,False
1182,Employee_182,employee_1@outlook.com,,M,Spain,7318.94,2018-05-22,26,,Full-time,38.0,Male,Executive,Principal,7.9,True
1199,Employee_199,employee_1@outlook.com,Sales,M,,6872.37,2016-02-11,0,3.0,Full-time,-5.0,Male,Senior,Junior,10.2,True
1168,Employee_168,employee_1@gmail.com,HR,male,Netherlands,4702.18,2024-01-09,27,3.0,Part-time,32.0,Male,Senior,Principal,2.3,True
1071,Employee_71,employee_7@company.com,Finance,M,,4027.35,2016-08-31,2,4.0,Part-time,20.0,Male,Senior,Mid-level,9.7,True
1171,Employee_171,employee_1@company.com,Finance,M,Spain,9196.17,2016-05-21,21,5.0,Unknown,20.0,Male,Executive,Principal,9.9,True
1045,Employee_45,employee_4@gmail.com,Finance,male,Spain,3387.99,2018-03-25,6,4.0,Unknown,38.0,Male,Mid,Senior,8.1,False
1144,Employee_144,employee_1@gmail.com,HR,F,,181.58,2017-02-17,25,1.0,Full-time,32.0,Female,Entry,Principal,9.2,False
1041,Employee_41,employee_4@outlook.com,Marketing,M,,11546.68,2019-01-21,-1,3.0,Unknown,,Male,Executive,Unknown,7.3,True
1124,Employee_124,employee_1@company.com,Engineering,F,,2381.73,2022-08-07,25,,Freelance,-5.0,Female,Mid,Principal,3.7,False
1024,Employee_24,employee_2@gmail.com,Marketing,male,Belgium,11399.0,2017-01-13,19,2.0,Freelance,60.0,Male,Executive,Principal,9.3,True
1162,Employee_162,employee_1@gmail.com,Engineering,F,France,1396.59,2018-10-19,-1,1.0,Full-time,20.0,Female,Entry,Unknown,7.5,False
1082,Employee_82,employee_8@outlook.com,HR,male,Belgium,9821.68,2022-06-11,31,,Full-time,60.0,Male,Executive,Principal,3.9,True
1040,Employee_40,employee_4@outlook.com,Marketing,m,France,7073.66,2015-08-11,18,99.0,Unknown,40.0,Male,Executive,Principal,10.7,True
1048,Employee_48,employee_4@gmail.com,Finance,F,Spain,6697.46,2021-10-29,5,4.0,Part-time,0.0,Female,Senior,Senior,4.5,True
1169,Employee_169,employee_1@outlook.com,Finance,male,France,6951.59,2016-01-05,19,5.0,Part-time,,Male,Senior,Principal,10.3,True
1044,Employee_44,employee_4@outlook.com,Engineering,m,Spain,1547.07,2017-12-29,1,5.0,Full-time,0.0,Male,Entry,Junior,8.3,False
1106,Employee_106,employee_1@outlook.com,Marketing,male,Netherlands,6439.7,2016-02-08,28,1.0,Full-time,20.0,Male,Senior,Principal,10.2,True
1200,Employee_200,employee_2@company.com,Marketing,FEMALE,Netherlands,9548.82,2019-02-13,12,,Full-time,40.0,Female,Executive,Principal,7.2,True
1107,Employee_107,employee_1@gmail.com,HR,,,2504.05,2022-11-23,2,2.0,Part-time,32.0,Unknown,Mid,Mid-level,3.4,False
1050,Employee_50,employee_5@outlook.com,Engineering,M,Germany,4191.34,2021-03-06,28,1.0,Full-time,40.0,Male,Senior,Principal,5.2,True
1081,Employee_81,employee_8@company.com,Operations,f,Netherlands,5310.92,2019-04-11,22,5.0,Unknown,0.0,Female,Senior,Principal,7.1,True
1035,Employee_35,employee_3@outlook.com,Sales,f,Spain,929.87,2017-10-30,6,1.0,Full-time,38.0,Female,Entry,Senior,8.5,False
1008,Employee_8,employee_8@company.com,,f,Spain,549.34,2020-04-03,27,99.0,Full-time,0.0,Female,Entry,Principal,6.1,False
1084,Employee_84,employee_8@company.com,HR,f,Netherlands,3528.81,2020-07-21,27,5.0,Full-time,40.0,Female,Mid,Principal,5.8,False
1196,Employee_196,employee_1@gmail.com,Finance,FEMALE,,2417.8,,29,4.0,Unknown,38.0,Female,Mid,Principal,,False
1090,Employee_90,employee_9@gmail.com,Operations,M,,6623.12,,11,,Part-time,0.0,Male,Senior,Principal,,True
1014,Employee_14,employee_1@gmail.com,Marketing,M,,5183.74,2018-08-13,13,1.0,Unknown,40.0,Male,Senior,Principal,7.7,True
1100,Employee_100,employee_1@outlook.com,Engineering,m,,10501.34,2023-07-08,18,2.0,Freelance,0.0,Male,Executive,Principal,2.8,True
1018,Employee_18,employee_1@gmail.com,Marketing,m,Belgium,11390.05,2015-03-26,2,4.0,Freelance,60.0,Male,Executive,Mid-level,11.1,True
1167,Employee_167,employee_1@outlook.com,Finance,FEMALE,Belgium,6475.91,2019-06-16,24,2.0,Freelance,32.0,Female,Senior,Principal,6.9,True
1073,Employee_73,employee_7@gmail.com,Marketing,FEMALE,Spain,5246.74,2021-03-10,18,3.0,Part-time,40.0,Female,Senior,Principal,5.1,True
1064,Employee_64,employee_6@outlook.com,Operations,,France,7769.02,2018-02-05,1,1.0,Part-time,,Unknown,Executive,Junior,8.2,True
1108,Employee_108,employee_1@company.com,Marketing,,Spain,5451.16,2019-12-23,3,99.0,Part-time,60.0,Unknown,Senior,Mid-level,6.4,True
1131,Employee_131,employee_1@outlook.com,HR,M,France,8732.56,2024-07-27,30,,Full-time,-5.0,Male,Executive,Principal,1.8,True
1059,Employee_59,employee_5@gmail.com,Sales,f,France,9569.1,2020-04-18,0,,Part-time,-5.0,Female,Executive,Junior,6.0,True
1049,Employee_49,employee_4@outlook.com,Marketing,male,Belgium,10850.33,2022-12-17,2,3.0,Freelance,60.0,Male,Executive,Mid-level,3.4,True
1117,Employee_117,employee_1@outlook.com,,,,6418.41,2019-04-16,35,,Full-time,,Unknown,Senior,Principal,7.0,True
1188,Employee_188,employee_1@outlook.com,Finance,M,France,4606.47,2019-02-28,11,4.0,Full-time,32.0,Male,Senior,Principal,7.2,True
1192,Employee_192,employee_1@gmail.com,Engineering,male,France,3101.31,2024-12-05,25,2.0,Unknown,0.0,Male,Mid,Principal,1.4,False
1021,Employee_21,employee_2@company.com,,m,Spain,5378.84,,35,4.0,Unknown,60.0,Male,Senior,Principal,,True
1002,Employee_2,employee_2@gmail.com,Marketing,f,Netherlands,10994.27,2022-04-06,20,5.0,Full-time,38.0,Female,Executive,Principal,4.1,True
1093,Employee_93,employee_9@company.com,Engineering,f,,5678.83,2023-10-07,12,99.0,Full-time,0.0,Female,Senior,Principal,2.6,True
